sg_uf_candidato	nu_ano	count
GO	2019	0
GO	2020	0
GO	2021	53
GO	2022	34
GO	2023	35
GO	2024	32
DF	2019	0
DF	2020	0
DF	2021	13
DF	2022	8
DF	2023	4
DF	2024	3
SP	2019	0
SP	2020	0
SP	2021	7
SP	2022	0
SP	2023	1
SP	2024	2
BA	2019	0
BA	2020	0
BA	2021	4
BA	2022	1
BA	2023	1
BA	2024	4
PA	2019	0
PA	2020	0
PA	2021	2
PA	2022	2
PA	2023	1
PA	2024	1
AM	2019	0
AM	2020	0
AM	2021	2
AM	2022	1
AM	2023	1
AM	2024	1
MG	2019	0
MG	2020	0
MG	2021	1
MG	2022	2
MG	2023	0
MG	2024	1
MS	2019	0
MS	2020	0
MS	2021	2
MS	2022	1
MS	2023	0
MS	2024	0
