municipio	nu_ano	count
GO-GOIÂNIA	2019	0
DF-BRASÍLIA	2019	0
GO-JATAÍ	2019	0
GO-MINEIROS	2019	0
GO-APARECIDA DE GOIÂNIA	2019	0
GO-CAIAPÔNIA	2019	0
GO-QUIRINÓPOLIS	2019	0
GO-SERRANÓPOLIS	2019	0
GO-MINEIROS	2020	0
DF-BRASÍLIA	2020	0
GO-SERRANÓPOLIS	2020	0
GO-JATAÍ	2020	0
GO-QUIRINÓPOLIS	2020	0
GO-GOIÂNIA	2020	0
GO-CAIAPÔNIA	2020	0
GO-APARECIDA DE GOIÂNIA	2020	0
GO-JATAÍ	2021	30
DF-BRASÍLIA	2021	13
GO-GOIÂNIA	2021	3
GO-APARECIDA DE GOIÂNIA	2021	2
GO-MINEIROS	2021	2
GO-SERRANÓPOLIS	2021	1
GO-CAIAPÔNIA	2021	0
GO-QUIRINÓPOLIS	2021	0
GO-JATAÍ	2022	13
DF-BRASÍLIA	2022	8
GO-MINEIROS	2022	2
GO-QUIRINÓPOLIS	2022	2
GO-GOIÂNIA	2022	1
GO-APARECIDA DE GOIÂNIA	2022	1
GO-SERRANÓPOLIS	2022	1
GO-CAIAPÔNIA	2022	0
GO-JATAÍ	2023	25
DF-BRASÍLIA	2023	4
GO-GOIÂNIA	2023	3
GO-MINEIROS	2023	1
GO-SERRANÓPOLIS	2023	1
GO-QUIRINÓPOLIS	2023	0
GO-CAIAPÔNIA	2023	0
GO-APARECIDA DE GOIÂNIA	2023	0
GO-JATAÍ	2024	9
GO-GOIÂNIA	2024	4
GO-CAIAPÔNIA	2024	3
DF-BRASÍLIA	2024	3
GO-MINEIROS	2024	2
GO-APARECIDA DE GOIÂNIA	2024	1
GO-QUIRINÓPOLIS	2024	1
GO-SERRANÓPOLIS	2024	0
