ano	grupocota	notacorte
2015	AC	607.55
2015	PPI	561.485
2015	RI	570.195
2015	RS	576.12
2016	AC	602.11
2016	PPI	557.5
2016	RI	556.245
2016	RS	570.3299999999999
2017	AC	623.06
2017	PPI	578.25
2017	RI	583.6700000000001
2017	RS	585.8299999999999
2018	AC	613.85
2018	PPI	579.395
2018	RI	573.5699999999999
2018	RS	591.44
2018	cD	0.0
2019	AC	603.82
2019	PPI	519.9499999999999
2019	RI	527.97
2019	RS	579.6949999999999
2019	cD	441.23
2021	AC	532.89
2021	PPI	500.84000000000003
2021	RI	512.88
2021	RS	508.90999999999997
2021	cD	0.0
2022	AC	515.56
2022	PPI	488.575
2022	RI	503.425
2022	RS	534.035
2022	cD	0.0
2023	AC	523.51
2023	PPI	464.9
2023	RI	522.815
2023	RS	525.0366666666667
2023	cD	520.32
2024	AC	523.51
2024	PPI	464.9
2024	RI	522.815
2024	RS	525.0366666666667
2024	cD	520.32
