Parâmetro	Valor
Nome do curso	CIÊNCIAS BIOLÓGICAS 
Unidade Acadêmica	IB
Grau	Licenciatura
Turno	Integral
Duração mínima em semestres	8
Vagas anuais	30
Nota de corte da ampla concorrência em 2024	524
Ingressantes de 2012 a 2024	259 (19.9 por ano)
Graduados de 2012 a 2024	70 (5.8 por ano)
Taxa de formação histórica	25.7% (53 graduados desde 2015 para 206 ingressantes de 2012 a 2021)
Conceito Preliminar de Curso (CPC 2021)	Contínuo: 2.9, Faixa: 3
Matriculados em 2024-1	38 (31.7% da capacidade)
Matriculados em 2024-2	33 (27.5% da capacidade)
