resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	CIENCIAS BIOLOGICAS	33.0
Apoio pedagógico	Atenção	CIENCIAS BIOLOGICAS	33.0
Atendimento prestado pelos TAEs	Bom	CIENCIAS BIOLOGICAS	67.0
Cenários de práticas	Ruim	CIENCIAS BIOLOGICAS	-20.0
Coordenação: Atendimento das demandas	Ruim	CIENCIAS BIOLOGICAS	-13.0
Coordenação: Horário de atendimento	Atenção	CIENCIAS BIOLOGICAS	33.0
Estágio: condições de aprendizagem	Atenção	CIENCIAS BIOLOGICAS	27.0
Estágio: suporte à formação	Atenção	CIENCIAS BIOLOGICAS	20.0
Interação da coordenação do curso	Atenção	CIENCIAS BIOLOGICAS	27.0
Portal discente/docente	Ruim	CIENCIAS BIOLOGICAS	0.001
Recursos audiovisuais e tecnológicos	Atenção	CIENCIAS BIOLOGICAS	27.0
ᴵ Estímulo à participação em projetos	Atenção	CIENCIAS BIOLOGICAS	7.0
ᴵ Interdisciplinariedade	Bom	CIENCIAS BIOLOGICAS	53.0
