resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	CIENCIAS BIOLOGICAS	33.0
Acervo da biblioteca	Bom	0	0
Acervo da biblioteca	Ruim	0	0
Apoio pedagógico	Atenção	CIENCIAS BIOLOGICAS	33.0
Apoio pedagógico	Bom	0	0
Apoio pedagógico	Ruim	0	0
Atendimento prestado pelos TAEs	Atenção	0	0
Atendimento prestado pelos TAEs	Bom	CIENCIAS BIOLOGICAS	67.0
Atendimento prestado pelos TAEs	Ruim	0	0
Cenários de práticas	Atenção	0	0
Cenários de práticas	Bom	0	0
Cenários de práticas	Ruim	CIENCIAS BIOLOGICAS	-20.0
Coordenação: Atendimento das demandas	Atenção	0	0
Coordenação: Atendimento das demandas	Bom	0	0
Coordenação: Atendimento das demandas	Ruim	CIENCIAS BIOLOGICAS	-13.0
Coordenação: Horário de atendimento	Atenção	CIENCIAS BIOLOGICAS	33.0
Coordenação: Horário de atendimento	Bom	0	0
Coordenação: Horário de atendimento	Ruim	0	0
Estágio: condições de aprendizagem	Atenção	CIENCIAS BIOLOGICAS	27.0
Estágio: condições de aprendizagem	Bom	0	0
Estágio: condições de aprendizagem	Ruim	0	0
Estágio: suporte à formação	Atenção	CIENCIAS BIOLOGICAS	20.0
Estágio: suporte à formação	Bom	0	0
Estágio: suporte à formação	Ruim	0	0
Interação da coordenação do curso	Atenção	CIENCIAS BIOLOGICAS	27.0
Interação da coordenação do curso	Bom	0	0
Interação da coordenação do curso	Ruim	0	0
Portal discente/docente	Atenção	0	0
Portal discente/docente	Bom	0	0
Portal discente/docente	Ruim	CIENCIAS BIOLOGICAS	0.001
Recursos audiovisuais e tecnológicos	Atenção	CIENCIAS BIOLOGICAS	27.0
Recursos audiovisuais e tecnológicos	Bom	0	0
Recursos audiovisuais e tecnológicos	Ruim	0	0
ᴵ Estímulo à participação em projetos	Atenção	CIENCIAS BIOLOGICAS	7.0
ᴵ Estímulo à participação em projetos	Bom	0	0
ᴵ Estímulo à participação em projetos	Ruim	0	0
ᴵ Interdisciplinariedade	Atenção	0	0
ᴵ Interdisciplinariedade	Bom	CIENCIAS BIOLOGICAS	53.0
ᴵ Interdisciplinariedade	Ruim	0	0
