ano	curso	inscporvaga
2015	CIÊNCIAS BIOLÓGICAS LIC	11.5
2015	Média UFJ	19.23611111111111
2015	Média da Unidade Acadêmica	9.32857142857143
2016	CIÊNCIAS BIOLÓGICAS LIC	8.933333333333334
2016	Média UFJ	18.60648148148148
2016	Média da Unidade Acadêmica	9.114285714285714
2017	CIÊNCIAS BIOLÓGICAS LIC	9.2
2017	Média UFJ	19.575925925925926
2017	Média da Unidade Acadêmica	8.257142857142858
2018	CIÊNCIAS BIOLÓGICAS LIC	6.433333333333334
2018	Média UFJ	14.322222222222223
2018	Média da Unidade Acadêmica	6.242857142857143
2019	CIÊNCIAS BIOLÓGICAS LIC	6.448275862068965
2019	Média UFJ	13.692742695570217
2019	Média da Unidade Acadêmica	6.044776119402985
2020	Média UFJ	13.282178217821782
2021	CIÊNCIAS BIOLÓGICAS LIC	3.0
2021	Média UFJ	12.210185185185185
2021	Média da Unidade Acadêmica	3.442857142857143
2022	CIÊNCIAS BIOLÓGICAS LIC	1.8
2022	Média UFJ	9.397222222222222
2022	Média da Unidade Acadêmica	2.5285714285714285
2023	CIÊNCIAS BIOLÓGICAS LIC	1.5333333333333334
2023	Média UFJ	9.282407407407407
2023	Média da Unidade Acadêmica	2.4
2024	CIÊNCIAS BIOLÓGICAS LIC	1.6333333333333333
2024	Média UFJ	9.780555555555555
2024	Média da Unidade Acadêmica	2.4
