sg_uf_candidato	nu_ano	count
GO	2019	551
GO	2020	397
GO	2021	265
GO	2022	262
GO	2023	239
GO	2024	269
DF	2019	52
DF	2020	75
DF	2021	61
DF	2022	22
DF	2023	27
DF	2024	35
SP	2019	84
SP	2020	46
SP	2021	37
SP	2022	25
SP	2023	11
SP	2024	17
PA	2019	46
PA	2020	23
PA	2021	18
PA	2022	4
PA	2023	15
PA	2024	10
MG	2019	23
MG	2020	20
MG	2021	17
MG	2022	8
MG	2023	7
MG	2024	9
TO	2019	13
TO	2020	9
TO	2021	8
TO	2022	4
TO	2023	14
TO	2024	3
BA	2019	21
BA	2020	10
BA	2021	7
BA	2022	5
BA	2023	3
BA	2024	5
MT	2019	8
MT	2020	7
MT	2021	7
MT	2022	10
MT	2023	10
MT	2024	6
