municipio	nu_ano	count
GO-JATAÍ	2019	208
GO-GOIÂNIA	2019	63
DF-BRASÍLIA	2019	52
GO-RIO VERDE	2019	38
GO-APARECIDA DE GOIÂNIA	2019	21
GO-CAIAPÔNIA	2019	13
GO-ANÁPOLIS	2019	11
GO-MINEIROS	2019	7
GO-JATAÍ	2020	178
DF-BRASÍLIA	2020	75
GO-GOIÂNIA	2020	37
GO-APARECIDA DE GOIÂNIA	2020	15
GO-RIO VERDE	2020	13
GO-ANÁPOLIS	2020	10
GO-CAIAPÔNIA	2020	9
GO-MINEIROS	2020	7
GO-JATAÍ	2021	117
DF-BRASÍLIA	2021	61
GO-GOIÂNIA	2021	17
GO-RIO VERDE	2021	13
GO-ANÁPOLIS	2021	7
GO-APARECIDA DE GOIÂNIA	2021	4
GO-CAIAPÔNIA	2021	2
GO-MINEIROS	2021	1
GO-JATAÍ	2022	117
GO-GOIÂNIA	2022	31
DF-BRASÍLIA	2022	22
GO-RIO VERDE	2022	14
GO-ANÁPOLIS	2022	6
GO-MINEIROS	2022	4
GO-CAIAPÔNIA	2022	4
GO-APARECIDA DE GOIÂNIA	2022	2
GO-JATAÍ	2023	108
DF-BRASÍLIA	2023	27
GO-GOIÂNIA	2023	26
GO-APARECIDA DE GOIÂNIA	2023	11
GO-MINEIROS	2023	5
GO-RIO VERDE	2023	5
GO-ANÁPOLIS	2023	4
GO-CAIAPÔNIA	2023	0
GO-JATAÍ	2024	105
DF-BRASÍLIA	2024	35
GO-GOIÂNIA	2024	33
GO-RIO VERDE	2024	18
GO-APARECIDA DE GOIÂNIA	2024	9
GO-MINEIROS	2024	8
GO-CAIAPÔNIA	2024	4
GO-ANÁPOLIS	2024	2
