anoinicio	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	Total
2006	4													4
2007	3	3	4			1								11
2008	7	5	1		1	1								15
2009	13	8	3			2								26
2010		13	6	5	4	2	2	1						33
2011	1		3	7	4	2	3	1	1					22
2012	1			6	11	6	1			1		1		27
2013			1		4	6	1	1	3					16
2014						8	3	3	5	3		1		23
2015						1	14	8	10	1		1		35
2016								13	12	5	3			33
2017								1	15	11	2	1	1	31
2018								2		10	10	1	2	25
2019								1		1	17	6	9	34
2020												11	9	20
2021										1			13	14
2023												1	1	2
Total	29	29	18	18	24	29	24	31	46	33	32	23	35	371
