anoinicio	anograd	pivot-grouping	count
2006	2012	0	4
2007	2012	0	3
2007	2013	0	3
2007	2014	0	4
2007	2017	0	1
2008	2012	0	7
2008	2013	0	5
2008	2014	0	1
2008	2016	0	1
2008	2017	0	1
2009	2012	0	13
2009	2013	0	8
2009	2014	0	3
2009	2017	0	2
2010	2013	0	13
2010	2014	0	6
2010	2015	0	5
2010	2016	0	4
2010	2017	0	2
2010	2018	0	2
2010	2019	0	1
2011	2012	0	1
2011	2014	0	3
2011	2015	0	7
2011	2016	0	4
2011	2017	0	2
2011	2018	0	3
2011	2019	0	1
2011	2020	0	1
2012	2012	0	1
2012	2015	0	6
2012	2016	0	11
2012	2017	0	6
2012	2018	0	1
2012	2021	0	1
2012	2023	0	1
2013	2014	0	1
2013	2016	0	4
2013	2017	0	6
2013	2018	0	1
2013	2019	0	1
2013	2020	0	3
2014	2017	0	8
2014	2018	0	3
2014	2019	0	3
2014	2020	0	5
2014	2021	0	3
2014	2023	0	1
2015	2017	0	1
2015	2018	0	14
2015	2019	0	8
2015	2020	0	10
2015	2021	0	1
2015	2023	0	1
2016	2019	0	13
2016	2020	0	12
2016	2021	0	5
2016	2022	0	3
2017	2019	0	1
2017	2020	0	15
2017	2021	0	11
2017	2022	0	2
2017	2023	0	1
2017	2024	0	1
2018	2019	0	2
2018	2021	0	10
2018	2022	0	10
2018	2023	0	1
2018	2024	0	2
2019	2019	0	1
2019	2021	0	1
2019	2022	0	17
2019	2023	0	6
2019	2024	0	9
2020	2023	0	11
2020	2024	0	9
2021	2021	0	1
2021	2024	0	13
2023	2023	0	1
2023	2024	0	1
	2012	1	29
	2013	1	29
	2014	1	18
	2015	1	18
	2016	1	24
	2017	1	29
	2018	1	24
	2019	1	31
	2020	1	46
	2021	1	33
	2022	1	32
	2023	1	23
	2024	1	35
2006		2	4
2007		2	11
2008		2	15
2009		2	26
2010		2	33
2011		2	22
2012		2	27
2013		2	16
2014		2	23
2015		2	35
2016		2	33
2017		2	31
2018		2	25
2019		2	34
2020		2	20
2021		2	14
2023		2	2
		3	371
