Tipo	Quantidade	Pontuação efetiva	Pontuação teórica
Artigo periódico Qualis A, II-1.1.1	36	900	900
Artigo periódico Qualis B, II-1.1.2	12	240	240
Trabalho completo anais, II-1.6	22	220	220
Parecer adhoc tr. ev., II-3.12	106	200	290
Resumo simples anais, II-1.5	123	164	274
Parecer adhoc periódico, II-3.11	34	144	204
Parecer sem ART ou RRT, II-3.15.2	28	140	140
Capítulo livro c/ c. edit., II-1.9	11	110	110
Apresentação oral tr. cong., II-4.4	39	90	117
Trabalho premiado ev. nac./int., II-4.7	13	65	65
Resumo expandido anais, II-1.4	18	60	92
