sg_uf_candidato	nu_ano	count
GO	2020	6913
GO	2021	5937
GO	2022	4962
GO	2023	5285
GO	2024	5813
GO	2025	5521
DF	2020	1068
DF	2021	1007
DF	2022	797
DF	2023	742
DF	2024	729
DF	2025	702
SP	2020	973
SP	2021	1218
SP	2022	868
SP	2023	642
SP	2024	663
SP	2025	586
MG	2020	754
MG	2021	859
MG	2022	597
MG	2023	481
MG	2024	454
MG	2025	407
PA	2020	390
PA	2021	421
PA	2022	256
PA	2023	300
PA	2024	254
PA	2025	229
MT	2020	251
MT	2021	235
MT	2022	196
MT	2023	198
MT	2024	174
MT	2025	253
TO	2020	212
TO	2021	217
TO	2022	139
TO	2023	349
TO	2024	147
TO	2025	113
BA	2020	189
BA	2021	255
BA	2022	181
BA	2023	127
BA	2024	143
BA	2025	135
