municipio	nu_ano	count
GO-JATAÍ	2020	1797
GO-GOIÂNIA	2020	1688
DF-BRASÍLIA	2020	1068
GO-APARECIDA DE GOIÂNIA	2020	341
GO-ANÁPOLIS	2020	274
GO-RIO VERDE	2020	234
SP-SÃO PAULO	2020	164
MG-UBERLÂNDIA	2020	117
GO-GOIÂNIA	2021	1459
GO-JATAÍ	2021	1370
DF-BRASÍLIA	2021	1007
GO-APARECIDA DE GOIÂNIA	2021	292
GO-ANÁPOLIS	2021	240
GO-RIO VERDE	2021	214
SP-SÃO PAULO	2021	201
MG-UBERLÂNDIA	2021	112
GO-GOIÂNIA	2022	1184
GO-JATAÍ	2022	1144
DF-BRASÍLIA	2022	797
GO-RIO VERDE	2022	228
GO-APARECIDA DE GOIÂNIA	2022	204
GO-ANÁPOLIS	2022	179
SP-SÃO PAULO	2022	141
MG-UBERLÂNDIA	2022	95
GO-GOIÂNIA	2023	1344
GO-JATAÍ	2023	1105
DF-BRASÍLIA	2023	742
GO-APARECIDA DE GOIÂNIA	2023	238
GO-ANÁPOLIS	2023	219
GO-RIO VERDE	2023	216
SP-SÃO PAULO	2023	107
MG-UBERLÂNDIA	2023	94
GO-GOIÂNIA	2024	1457
GO-JATAÍ	2024	1220
DF-BRASÍLIA	2024	729
GO-APARECIDA DE GOIÂNIA	2024	288
GO-RIO VERDE	2024	283
GO-ANÁPOLIS	2024	241
SP-SÃO PAULO	2024	113
MG-UBERLÂNDIA	2024	76
GO-GOIÂNIA	2025	1313
GO-JATAÍ	2025	1102
DF-BRASÍLIA	2025	698
GO-RIO VERDE	2025	289
GO-ANÁPOLIS	2025	244
GO-APARECIDA DE GOIÂNIA	2025	243
SP-SÃO PAULO	2025	80
MG-UBERLÂNDIA	2025	79
