ano	avg	1stdev	max
2012	9.810483870967742	12.08596037364932	20
2013	10.216049382716049	12.277509777805975	18
2014	10.455621301775148	12.49214746540957	18
2015	10.571014492753623	12.46265142280978	17
2016	10.8475935828877	13.053754641281623	21
2017	11.0828025477707	13.795034297257356	22
2018	11.021917808219179	13.54513854714673	20
2019	11.023121387283236	13.749472687649863	21
2020	11.0	13.681243379334578	22
2021	11.103703703703705	13.955449733486395	24
2022	11.304635761589404	14.19557474029315	24
2023	11.296450939457202	14.034836535276872	24
2024	11.174641148325358	13.998095205647562	29
