anoinicio	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	Total
2003	1													1
2004	1													1
2005	4	2												6
2006	22	5	3		1									31
2007	35	28	9	1		1								74
2008	97	78	28	7	3	3								216
2009	81	126	80	38	23	10	2	1						361
2010	3	79	162	94	37	16	7	2	1	2			1	404
2011	2	3	50	148	96	41	30	14	9		3			396
2012	2	3	2	53	167	73	42	14	8	5	1	1	1	372
2013			2	3	39	121	85	54	23	16	9	5	1	358
2014			2		6	40	133	67	70	23	13	3		357
2015				1	1	5	60	129	96	47	31	13	5	388
2016					1	3	6	59	161	98	48	28	7	411
2017						1		3	65	154	143	69	24	459
2018								2	4	51	130	136	81	404
2019								1	2	6	70	157	89	325
2020										2	5	58	141	206
2021										1		5	62	68
2022												3	3	6
2023												1	3	4
Total	248	324	338	345	374	314	365	346	439	405	453	479	418	4848
