anoinicio	anograd	pivot-grouping	count
2003	2012	0	1
2004	2012	0	1
2005	2012	0	4
2005	2013	0	2
2006	2012	0	22
2006	2013	0	5
2006	2014	0	3
2006	2016	0	1
2007	2012	0	35
2007	2013	0	28
2007	2014	0	9
2007	2015	0	1
2007	2017	0	1
2008	2012	0	97
2008	2013	0	78
2008	2014	0	28
2008	2015	0	7
2008	2016	0	3
2008	2017	0	3
2009	2012	0	81
2009	2013	0	126
2009	2014	0	80
2009	2015	0	38
2009	2016	0	23
2009	2017	0	10
2009	2018	0	2
2009	2019	0	1
2010	2012	0	3
2010	2013	0	79
2010	2014	0	162
2010	2015	0	94
2010	2016	0	37
2010	2017	0	16
2010	2018	0	7
2010	2019	0	2
2010	2020	0	1
2010	2021	0	2
2010	2024	0	1
2011	2012	0	2
2011	2013	0	3
2011	2014	0	50
2011	2015	0	148
2011	2016	0	96
2011	2017	0	41
2011	2018	0	30
2011	2019	0	14
2011	2020	0	9
2011	2022	0	3
2012	2012	0	2
2012	2013	0	3
2012	2014	0	2
2012	2015	0	53
2012	2016	0	167
2012	2017	0	73
2012	2018	0	42
2012	2019	0	14
2012	2020	0	8
2012	2021	0	5
2012	2022	0	1
2012	2023	0	1
2012	2024	0	1
2013	2014	0	2
2013	2015	0	3
2013	2016	0	39
2013	2017	0	121
2013	2018	0	85
2013	2019	0	54
2013	2020	0	23
2013	2021	0	16
2013	2022	0	9
2013	2023	0	5
2013	2024	0	1
2014	2014	0	2
2014	2016	0	6
2014	2017	0	40
2014	2018	0	133
2014	2019	0	67
2014	2020	0	70
2014	2021	0	23
2014	2022	0	13
2014	2023	0	3
2015	2015	0	1
2015	2016	0	1
2015	2017	0	5
2015	2018	0	60
2015	2019	0	129
2015	2020	0	96
2015	2021	0	47
2015	2022	0	31
2015	2023	0	13
2015	2024	0	5
2016	2016	0	1
2016	2017	0	3
2016	2018	0	6
2016	2019	0	59
2016	2020	0	161
2016	2021	0	98
2016	2022	0	48
2016	2023	0	28
2016	2024	0	7
2017	2017	0	1
2017	2019	0	3
2017	2020	0	65
2017	2021	0	154
2017	2022	0	143
2017	2023	0	69
2017	2024	0	24
2018	2019	0	2
2018	2020	0	4
2018	2021	0	51
2018	2022	0	130
2018	2023	0	136
2018	2024	0	81
2019	2019	0	1
2019	2020	0	2
2019	2021	0	6
2019	2022	0	70
2019	2023	0	157
2019	2024	0	89
2020	2021	0	2
2020	2022	0	5
2020	2023	0	58
2020	2024	0	141
2021	2021	0	1
2021	2023	0	5
2021	2024	0	62
2022	2023	0	3
2022	2024	0	3
2023	2023	0	1
2023	2024	0	3
	2012	1	248
	2013	1	324
	2014	1	338
	2015	1	345
	2016	1	374
	2017	1	314
	2018	1	365
	2019	1	346
	2020	1	439
	2021	1	405
	2022	1	453
	2023	1	479
	2024	1	418
2003		2	1
2004		2	1
2005		2	6
2006		2	31
2007		2	74
2008		2	216
2009		2	361
2010		2	404
2011		2	396
2012		2	372
2013		2	358
2014		2	357
2015		2	388
2016		2	411
2017		2	459
2018		2	404
2019		2	325
2020		2	206
2021		2	68
2022		2	6
2023		2	4
		3	4848
