sg_uf_candidato	nu_ano	count
GO	2019	199
GO	2020	173
GO	2021	141
GO	2022	180
GO	2023	178
GO	2024	207
DF	2019	16
DF	2020	34
DF	2021	27
DF	2022	14
DF	2023	21
DF	2024	33
SP	2019	37
SP	2020	15
SP	2021	18
SP	2022	14
SP	2023	9
SP	2024	12
MG	2019	8
MG	2020	8
MG	2021	8
MG	2022	5
MG	2023	6
MG	2024	8
PA	2019	10
PA	2020	5
PA	2021	1
PA	2022	4
PA	2023	9
PA	2024	3
TO	2019	4
TO	2020	4
TO	2021	3
TO	2022	2
TO	2023	12
TO	2024	3
MT	2019	2
MT	2020	3
MT	2021	2
MT	2022	6
MT	2023	9
MT	2024	5
BA	2019	11
BA	2020	4
BA	2021	1
BA	2022	4
BA	2023	2
BA	2024	4
