municipio	nu_ano	count
GO-JATAÍ	2019	85
GO-GOIÂNIA	2019	23
DF-BRASÍLIA	2019	16
GO-RIO VERDE	2019	13
GO-APARECIDA DE GOIÂNIA	2019	9
GO-LUZIÂNIA	2019	5
GO-MINEIROS	2019	3
GO-IPORÁ	2019	0
GO-JATAÍ	2020	88
DF-BRASÍLIA	2020	34
GO-GOIÂNIA	2020	22
GO-APARECIDA DE GOIÂNIA	2020	6
GO-RIO VERDE	2020	5
GO-IPORÁ	2020	4
GO-MINEIROS	2020	4
GO-LUZIÂNIA	2020	3
GO-JATAÍ	2021	70
DF-BRASÍLIA	2021	27
GO-RIO VERDE	2021	9
GO-GOIÂNIA	2021	8
GO-IPORÁ	2021	5
GO-LUZIÂNIA	2021	3
GO-MINEIROS	2021	1
GO-APARECIDA DE GOIÂNIA	2021	0
GO-JATAÍ	2022	87
GO-GOIÂNIA	2022	26
DF-BRASÍLIA	2022	14
GO-RIO VERDE	2022	9
GO-IPORÁ	2022	3
GO-MINEIROS	2022	2
GO-APARECIDA DE GOIÂNIA	2022	1
GO-LUZIÂNIA	2022	0
GO-JATAÍ	2023	81
DF-BRASÍLIA	2023	21
GO-GOIÂNIA	2023	20
GO-APARECIDA DE GOIÂNIA	2023	7
GO-MINEIROS	2023	4
GO-LUZIÂNIA	2023	3
GO-RIO VERDE	2023	3
GO-IPORÁ	2023	3
GO-JATAÍ	2024	82
DF-BRASÍLIA	2024	33
GO-GOIÂNIA	2024	31
GO-RIO VERDE	2024	14
GO-MINEIROS	2024	6
GO-APARECIDA DE GOIÂNIA	2024	5
GO-IPORÁ	2024	3
GO-LUZIÂNIA	2024	3
