ano	grupocota	notacorte
2015	AC	626.13
2015	PPI	580.085
2015	RI	584.03
2015	RS	598.365
2016	AC	626.29
2016	PPI	583.585
2016	RI	583.58
2016	RS	599.3050000000001
2017	AC	636.96
2017	PPI	592.205
2017	RI	594.12
2017	RS	604.76
2018	AC	658.99
2018	PPI	537.7366666666667
2018	RI	593.4866666666667
2018	RS	554.9875
2018	cD	501.72333333333336
2019	AC	659.15
2019	PPI	572.7733333333333
2019	RI	575.6700000000001
2019	RS	632.075
2019	cD	493.26
2020	AC	651.96
2020	PPI	559.7925
2020	RI	561.7425
2020	RS	569.365
2020	cD	495.6825
2021	AC	654.67
2021	PPI	572.02
2021	RI	513.1333333333333
2021	RS	624.3133333333334
2021	cD	499.72999999999996
2022	AC	670.84
2022	PPI	599.5433333333334
2022	RI	602.35
2022	RS	638.4066666666666
2022	cD	618.02
2023	AC	684.53
2023	PPI	612.425
2023	RI	623.935
2023	RS	661.835
2023	cD	0.0
2024	AC	684.53
2024	PPI	612.425
2024	RI	623.935
2024	RS	661.835
2024	cD	0.0
