ano	avg	1stdev	max
2012	8.615384615384615	9.538461538461538	10
2013	9.0	10.414213562373096	12
2014	10.714285714285714	12.764671442058189	14
2015	10.2	11.8	12
2016	11.357142857142858	13.853057887093735	17
2017	12.0	15.360672201667224	19
2018	12.375	16.147847068196644	18
2019	10.307692307692308	12.950086774971949	18
2020	10.578947368421053	13.468416259223327	19
2021	10.933333333333334	14.556714197786984	16
2022	8.631578947368421	9.502786597749834	10
2023	11.909090909090908	17.459759099081364	24
2024	9.652173913043478	11.928874341145399	16
