Parâmetro	Valor
Nome do curso	CIÊNCIA DA COMPUTAÇÃO
Unidade Acadêmica	ICET
Grau	Bacharelado
Turno	Integral
Duração mínima em semestres	8
Vagas anuais	50
Nota de corte da ampla concorrência em 2024	685
Ingressantes de 2012 a 2024	607 (46.7 por ano)
Graduados de 2012 a 2024	183 (15.3 por ano)
Taxa de formação histórica	33.0% (149 graduados desde 2015 para 452 ingressantes de 2012 a 2021)
Conceito Preliminar de Curso (CPC 2021)	Contínuo: 2.9, Faixa: 3
Matriculados em 2024-1	199 (99.5% da capacidade)
Matriculados em 2024-2	188 (94.0% da capacidade)
