anoinicio	anograd	pivot-grouping	count
2008	2012	0	4
2008	2013	0	2
2008	2014	0	1
2008	2016	0	1
2008	2017	0	1
2009	2012	0	9
2009	2013	0	4
2009	2014	0	3
2009	2017	0	1
2010	2013	0	8
2010	2014	0	1
2010	2015	0	5
2010	2016	0	3
2010	2017	0	2
2010	2018	0	1
2011	2014	0	2
2011	2015	0	2
2011	2016	0	4
2011	2017	0	2
2011	2018	0	3
2011	2019	0	1
2011	2020	0	1
2012	2015	0	3
2012	2016	0	4
2012	2017	0	5
2012	2023	0	1
2013	2016	0	2
2013	2017	0	3
2013	2019	0	1
2013	2020	0	1
2014	2017	0	3
2014	2018	0	2
2014	2019	0	1
2014	2020	0	1
2014	2021	0	3
2014	2023	0	1
2015	2018	0	2
2015	2019	0	7
2015	2020	0	5
2015	2021	0	1
2015	2023	0	1
2016	2019	0	3
2016	2020	0	6
2016	2021	0	5
2017	2020	0	5
2017	2021	0	3
2017	2023	0	1
2017	2024	0	1
2018	2021	0	2
2018	2022	0	7
2018	2024	0	2
2019	2022	0	12
2019	2023	0	1
2019	2024	0	3
2020	2023	0	6
2020	2024	0	6
2021	2021	0	1
2021	2024	0	11
	2012	1	13
	2013	1	14
	2014	1	7
	2015	1	10
	2016	1	14
	2017	1	17
	2018	1	8
	2019	1	13
	2020	1	19
	2021	1	15
	2022	1	19
	2023	1	11
	2024	1	23
2008		2	9
2009		2	17
2010		2	20
2011		2	15
2012		2	13
2013		2	7
2014		2	11
2015		2	16
2016		2	14
2017		2	10
2018		2	11
2019		2	16
2020		2	12
2021		2	12
		3	183
