ano_enade	nota_enade	Nota ENEM
2014	44.0	492.775
2014	39.2	584.525
2014	39.0	475.25
2014	52.4	631.5250000000001
2014	37.3	601.875
2014	51.2	518.25
2014	66.2	610.1999999999999
2017	52.0	570.325
2017	26.5	598.9250000000001
2017	38.2	555.725
2017	54.6	669.4
2017	24.2	584.325
2017	37.6	586.3499999999999
2017	40.8	503.925
2017	57.3	653.1
2017	45.7	523.025
2017	26.9	626.55
2017	53.9	541.425
2017	47.6	582.125
2017	28.4	474.0
2017	43.3	559.7
2021	35.8	522.8000000000001
2021	48.9	602.6500000000001
2021	39.6	524.625
2021	31.3	478.47499999999997
2021	32.7	547.75
2021	25.9	559.825
2021	44.9	595.5250000000001
2021	28.9	500.9
2021	35.7	619.5
2021	31.0	667.375
2021	32.5	598.5999999999999
2021	43.8	616.175
2021	30.7	581.7
2021	48.9	628.675
2021	28.7	540.3249999999999
2021	32.5	606.75
2021	30.3	467.625
2021	44.8	640.75
2021	50.3	683.625
2021	34.6	547.8000000000001
2021	35.1	603.825
2021	25.4	552.6
2021	29.9	503.925
2021	31.9	588.5
2021	32.7	554.875
2021	33.7	632.9
2021	23.9	515.1
2021	30.0	620.1
2021	34.6	555.0749999999999
2021	30.2	552.0749999999999
2021	37.3	654.75
2021	47.2	642.475
2021	30.1	577.7
2021	32.6	544.875
2021	51.4	642.725
2021	30.5	600.725
2021	15.7	627.9499999999999
2021	45.6	583.9
2021	27.2	541.425
2021	28.3	600.5250000000001
2021	29.8	556.6
