resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	CIÊNCIA DA COMPUTAÇÃO	35.0
Apoio pedagógico	Bom	CIÊNCIA DA COMPUTAÇÃO	53.0
Atendimento prestado pelos TAEs	Excelente	CIÊNCIA DA COMPUTAÇÃO	88.0
Cenários de práticas	Excelente	CIÊNCIA DA COMPUTAÇÃO	76.0
Coordenação: Atendimento das demandas	Excelente	CIÊNCIA DA COMPUTAÇÃO	82.0
Coordenação: Horário de atendimento	Excelente	CIÊNCIA DA COMPUTAÇÃO	82.0
Estágio: condições de aprendizagem	Excelente	CIÊNCIA DA COMPUTAÇÃO	80.0
Estágio: suporte à formação	Bom	CIÊNCIA DA COMPUTAÇÃO	59.0
Interação da coordenação do curso	Excelente	CIÊNCIA DA COMPUTAÇÃO	94.0
Portal discente/docente	Bom	CIÊNCIA DA COMPUTAÇÃO	53.0
Recursos audiovisuais e tecnológicos	Bom	CIÊNCIA DA COMPUTAÇÃO	73.0
ᴵ Estímulo à participação em projetos	Excelente	CIÊNCIA DA COMPUTAÇÃO	88.0
ᴵ Interdisciplinariedade	Excelente	CIÊNCIA DA COMPUTAÇÃO	82.0
