resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	CIÊNCIA DA COMPUTAÇÃO	35.0
Acervo da biblioteca	Bom	0	0
Acervo da biblioteca	Excelente	0	0
Apoio pedagógico	Atenção	0	0
Apoio pedagógico	Bom	CIÊNCIA DA COMPUTAÇÃO	53.0
Apoio pedagógico	Excelente	0	0
Atendimento prestado pelos TAEs	Atenção	0	0
Atendimento prestado pelos TAEs	Bom	0	0
Atendimento prestado pelos TAEs	Excelente	CIÊNCIA DA COMPUTAÇÃO	88.0
Cenários de práticas	Atenção	0	0
Cenários de práticas	Bom	0	0
Cenários de práticas	Excelente	CIÊNCIA DA COMPUTAÇÃO	76.0
Coordenação: Atendimento das demandas	Atenção	0	0
Coordenação: Atendimento das demandas	Bom	0	0
Coordenação: Atendimento das demandas	Excelente	CIÊNCIA DA COMPUTAÇÃO	82.0
Coordenação: Horário de atendimento	Atenção	0	0
Coordenação: Horário de atendimento	Bom	0	0
Coordenação: Horário de atendimento	Excelente	CIÊNCIA DA COMPUTAÇÃO	82.0
Estágio: condições de aprendizagem	Atenção	0	0
Estágio: condições de aprendizagem	Bom	0	0
Estágio: condições de aprendizagem	Excelente	CIÊNCIA DA COMPUTAÇÃO	80.0
Estágio: suporte à formação	Atenção	0	0
Estágio: suporte à formação	Bom	CIÊNCIA DA COMPUTAÇÃO	59.0
Estágio: suporte à formação	Excelente	0	0
Interação da coordenação do curso	Atenção	0	0
Interação da coordenação do curso	Bom	0	0
Interação da coordenação do curso	Excelente	CIÊNCIA DA COMPUTAÇÃO	94.0
Portal discente/docente	Atenção	0	0
Portal discente/docente	Bom	CIÊNCIA DA COMPUTAÇÃO	53.0
Portal discente/docente	Excelente	0	0
Recursos audiovisuais e tecnológicos	Atenção	0	0
Recursos audiovisuais e tecnológicos	Bom	CIÊNCIA DA COMPUTAÇÃO	73.0
Recursos audiovisuais e tecnológicos	Excelente	0	0
ᴵ Estímulo à participação em projetos	Atenção	0	0
ᴵ Estímulo à participação em projetos	Bom	0	0
ᴵ Estímulo à participação em projetos	Excelente	CIÊNCIA DA COMPUTAÇÃO	88.0
ᴵ Interdisciplinariedade	Atenção	0	0
ᴵ Interdisciplinariedade	Bom	0	0
ᴵ Interdisciplinariedade	Excelente	CIÊNCIA DA COMPUTAÇÃO	82.0
