resumo	curso	aprovado	Classificação	nps
Assiduidade	CIÊNCIA DA COMPUTAÇÃO	False	Excelente	91.0
Assiduidade	CIÊNCIA DA COMPUTAÇÃO	True	Excelente	83.0
Coerência do método avaliativo	CIÊNCIA DA COMPUTAÇÃO	False	Bom	56.0
Coerência do método avaliativo	CIÊNCIA DA COMPUTAÇÃO	True	Bom	68.0
Cortesia e Ética	CIÊNCIA DA COMPUTAÇÃO	False	Excelente	82.0
Cortesia e Ética	CIÊNCIA DA COMPUTAÇÃO	True	Excelente	85.0
Cumprimento do plano de ensino	CIÊNCIA DA COMPUTAÇÃO	False	Bom	65.0
Cumprimento do plano de ensino	CIÊNCIA DA COMPUTAÇÃO	True	Excelente	81.0
Domínio e apresentação	CIÊNCIA DA COMPUTAÇÃO	False	Atenção	44.0
Domínio e apresentação	CIÊNCIA DA COMPUTAÇÃO	True	Bom	69.0
Estímulo ao aprendizado	CIÊNCIA DA COMPUTAÇÃO	False	Bom	53.0
Estímulo ao aprendizado	CIÊNCIA DA COMPUTAÇÃO	True	Bom	64.0
Incentivo a Projetos	CIÊNCIA DA COMPUTAÇÃO	False	Atenção	45.0
Incentivo a Projetos	CIÊNCIA DA COMPUTAÇÃO	True	Bom	51.0
Promoção do raciocínio crítico/reflexivo	CIÊNCIA DA COMPUTAÇÃO	False	Bom	65.0
Promoção do raciocínio crítico/reflexivo	CIÊNCIA DA COMPUTAÇÃO	True	Bom	68.0
Relacionamento conteúdo-profissão	CIÊNCIA DA COMPUTAÇÃO	False	Bom	53.0
Relacionamento conteúdo-profissão	CIÊNCIA DA COMPUTAÇÃO	True	Bom	70.0
