ano	curso	inscporvaga
2015	CIÊNCIA DA COMPUTAÇÃO	9.58
2015	Média UFJ	19.23611111111111
2015	Média da Unidade Acadêmica	9.413636363636364
2016	CIÊNCIA DA COMPUTAÇÃO	8.64
2016	Média UFJ	18.60648148148148
2016	Média da Unidade Acadêmica	8.672727272727272
2017	CIÊNCIA DA COMPUTAÇÃO	7.82
2017	Média UFJ	19.575925925925926
2017	Média da Unidade Acadêmica	7.9409090909090905
2018	CIÊNCIA DA COMPUTAÇÃO	6.0
2018	Média UFJ	14.322222222222223
2018	Média da Unidade Acadêmica	5.127272727272727
2019	CIÊNCIA DA COMPUTAÇÃO	6.061224489795919
2019	Média UFJ	13.692742695570217
2019	Média da Unidade Acadêmica	4.377358490566038
2020	CIÊNCIA DA COMPUTAÇÃO	5.14
2020	Média UFJ	13.282178217821782
2020	Média da Unidade Acadêmica	3.05
2021	CIÊNCIA DA COMPUTAÇÃO	4.4
2021	Média UFJ	12.210185185185185
2021	Média da Unidade Acadêmica	2.3136363636363635
2022	CIÊNCIA DA COMPUTAÇÃO	4.72
2022	Média UFJ	9.397222222222222
2022	Média da Unidade Acadêmica	1.7272727272727273
2023	CIÊNCIA DA COMPUTAÇÃO	5.06
2023	Média UFJ	9.282407407407407
2023	Média da Unidade Acadêmica	1.5954545454545455
2024	CIÊNCIA DA COMPUTAÇÃO	5.68
2024	Média UFJ	9.780555555555555
2024	Média da Unidade Acadêmica	1.8045454545454545
