municipio	nu_ano	count
GO-JATAÍ	2019	25
GO-GOIÂNIA	2019	9
GO-ANÁPOLIS	2019	7
DF-BRASÍLIA	2019	7
SP-SÃO PAULO	2019	7
GO-RIO VERDE	2019	6
GO-NIQUELÂNDIA	2019	2
GO-APARECIDA DE GOIÂNIA	2019	0
GO-JATAÍ	2020	20
DF-BRASÍLIA	2020	11
SP-SÃO PAULO	2020	5
GO-ANÁPOLIS	2020	5
GO-GOIÂNIA	2020	4
GO-RIO VERDE	2020	3
GO-APARECIDA DE GOIÂNIA	2020	1
GO-NIQUELÂNDIA	2020	1
GO-JATAÍ	2021	15
DF-BRASÍLIA	2021	7
GO-GOIÂNIA	2021	4
GO-ANÁPOLIS	2021	3
GO-APARECIDA DE GOIÂNIA	2021	2
GO-RIO VERDE	2021	2
GO-NIQUELÂNDIA	2021	2
SP-SÃO PAULO	2021	1
GO-JATAÍ	2022	9
DF-BRASÍLIA	2022	5
GO-NIQUELÂNDIA	2022	4
GO-ANÁPOLIS	2022	3
GO-GOIÂNIA	2022	2
SP-SÃO PAULO	2022	2
GO-RIO VERDE	2022	2
GO-APARECIDA DE GOIÂNIA	2022	0
GO-JATAÍ	2023	10
GO-GOIÂNIA	2023	4
GO-APARECIDA DE GOIÂNIA	2023	3
DF-BRASÍLIA	2023	3
GO-ANÁPOLIS	2023	1
GO-NIQUELÂNDIA	2023	0
SP-SÃO PAULO	2023	0
GO-RIO VERDE	2023	0
GO-JATAÍ	2024	11
GO-APARECIDA DE GOIÂNIA	2024	4
DF-BRASÍLIA	2024	1
GO-RIO VERDE	2024	1
SP-SÃO PAULO	2024	0
GO-GOIÂNIA	2024	0
GO-NIQUELÂNDIA	2024	0
GO-ANÁPOLIS	2024	0
