ano	grupocota	notacorte
2015	AC	616.39
2015	PPI	582.315
2015	RI	581.81
2015	RS	599.81
2016	AC	610.86
2016	PPI	556.865
2016	RI	557.59
2016	RS	582.65
2017	AC	626.07
2017	PPI	578.105
2017	RI	587.52
2017	RS	588.21
2018	AC	623.75
2018	PPI	581.355
2018	RI	589.73
2018	RS	605.4449999999999
2018	cD	0.0
2019	AC	608.22
2019	PPI	563.235
2019	RI	572.005
2019	RS	560.48
2020	AC	598.78
2020	PPI	528.505
2020	RI	563.2833333333334
2020	RS	479.65
2020	cD	542.45
2021	AC	559.63
2021	PPI	495.04499999999996
2021	RI	478.57
2021	RS	518.48
2021	cD	0.0
2022	AC	530.34
2022	PPI	0.0
2022	RI	507.81
2022	RS	525.52
2022	cD	0.0
2023	AC	495.01
2023	PPI	0.0
2023	RI	0.0
2023	RS	551.68
2023	cD	0.0
2024	AC	495.01
2024	PPI	0.0
2024	RI	0.0
2024	RS	551.68
2024	cD	0.0
