Parâmetro	Valor
Nome do curso	QUÍMICA
Unidade Acadêmica	ICET
Grau	Bacharelado
Turno	Integral
Duração mínima em semestres	8
Vagas anuais	40
Nota de corte da ampla concorrência em 2024	495
Ingressantes de 2012 a 2024	205 (15.8 por ano)
Graduados de 2012 a 2024	51 (4.3 por ano)
Taxa de formação histórica	28.7% (51 graduados desde 2015 para 178 ingressantes de 2012 a 2021)
Conceito Preliminar de Curso (CPC 2021)	Contínuo: 2.7, Faixa: 3
Matriculados em 2024-1	37 (23.1% da capacidade)
Matriculados em 2024-2	33 (20.6% da capacidade)
