anoinicio	anograd	pivot-grouping	count
2012	2016	0	3
2012	2017	0	1
2013	2016	0	2
2013	2017	0	1
2013	2018	0	1
2013	2020	0	1
2014	2017	0	1
2015	2018	0	3
2015	2020	0	3
2016	2019	0	4
2016	2020	0	3
2016	2022	0	3
2017	2020	0	5
2017	2021	0	5
2017	2022	0	1
2018	2021	0	2
2018	2022	0	1
2019	2019	0	1
2019	2023	0	2
2019	2024	0	4
2020	2023	0	3
2020	2024	0	1
	2016	1	5
	2017	1	3
	2018	1	4
	2019	1	5
	2020	1	12
	2021	1	7
	2022	1	5
	2023	1	5
	2024	1	5
2012		2	4
2013		2	5
2014		2	1
2015		2	6
2016		2	10
2017		2	11
2018		2	3
2019		2	7
2020		2	4
		3	51
