ano	curso	inscporvaga
2015	Média UFJ	19.23611111111111
2015	Média da Unidade Acadêmica	9.413636363636364
2015	QUÍMICA BACH	7.8
2016	Média UFJ	18.60648148148148
2016	Média da Unidade Acadêmica	8.672727272727272
2016	QUÍMICA BACH	7.075
2017	Média UFJ	19.575925925925926
2017	Média da Unidade Acadêmica	7.9409090909090905
2017	QUÍMICA BACH	7.075
2018	Média UFJ	14.322222222222223
2018	Média da Unidade Acadêmica	5.127272727272727
2018	QUÍMICA BACH	4.475
2019	Média UFJ	13.692742695570217
2019	Média da Unidade Acadêmica	4.377358490566038
2019	QUÍMICA BACH	3.8157894736842106
2020	Média UFJ	13.282178217821782
2020	Média da Unidade Acadêmica	3.05
2020	QUÍMICA BACH	2.675
2021	Média UFJ	12.210185185185185
2021	Média da Unidade Acadêmica	2.3136363636363635
2021	QUÍMICA BACH	2.15
2022	Média UFJ	9.397222222222222
2022	Média da Unidade Acadêmica	1.7272727272727273
2022	QUÍMICA BACH	1.525
2023	Média UFJ	9.282407407407407
2023	Média da Unidade Acadêmica	1.5954545454545455
2023	QUÍMICA BACH	1.025
2024	Média UFJ	9.780555555555555
2024	Média da Unidade Acadêmica	1.8045454545454545
2024	QUÍMICA BACH	1.1
