sg_uf_candidato	nu_ano	count
GO	2019	93
GO	2020	53
GO	2021	33
GO	2022	8
GO	2023	9
GO	2024	8
DF	2019	16
DF	2020	13
DF	2021	13
DF	2022	1
DF	2023	3
DF	2024	1
SP	2019	14
SP	2020	6
SP	2021	4
SP	2022	2
SP	2023	0
SP	2024	0
PA	2019	12
PA	2020	4
PA	2021	6
PA	2022	0
PA	2023	1
PA	2024	2
BA	2019	5
BA	2020	3
BA	2021	3
BA	2022	0
BA	2023	0
BA	2024	1
MG	2019	5
MG	2020	1
MG	2021	4
MG	2022	0
MG	2023	0
MG	2024	0
CE	2019	4
CE	2020	1
CE	2021	1
CE	2022	0
CE	2023	0
CE	2024	0
MA	2019	4
MA	2020	2
MA	2021	0
MA	2022	0
MA	2023	0
MA	2024	0
