municipio	nu_ano	count
GO-JATAÍ	2019	26
DF-BRASÍLIA	2019	16
GO-GOIÂNIA	2019	12
GO-RIO VERDE	2019	6
GO-APARECIDA DE GOIÂNIA	2019	5
GO-FORMOSA	2019	3
GO-SERRANÓPOLIS	2019	2
GO-VALPARAÍSO DE GOIÁS	2019	0
GO-JATAÍ	2020	14
DF-BRASÍLIA	2020	13
GO-GOIÂNIA	2020	6
GO-APARECIDA DE GOIÂNIA	2020	4
GO-SERRANÓPOLIS	2020	2
GO-RIO VERDE	2020	2
GO-VALPARAÍSO DE GOIÁS	2020	1
GO-FORMOSA	2020	1
DF-BRASÍLIA	2021	13
GO-JATAÍ	2021	9
GO-VALPARAÍSO DE GOIÁS	2021	5
GO-GOIÂNIA	2021	3
GO-FORMOSA	2021	2
GO-RIO VERDE	2021	1
GO-APARECIDA DE GOIÂNIA	2021	1
GO-SERRANÓPOLIS	2021	1
GO-JATAÍ	2022	2
DF-BRASÍLIA	2022	1
GO-VALPARAÍSO DE GOIÁS	2022	1
GO-RIO VERDE	2022	1
GO-APARECIDA DE GOIÂNIA	2022	1
GO-SERRANÓPOLIS	2022	0
GO-GOIÂNIA	2022	0
GO-FORMOSA	2022	0
GO-JATAÍ	2023	4
DF-BRASÍLIA	2023	3
GO-GOIÂNIA	2023	2
GO-APARECIDA DE GOIÂNIA	2023	0
GO-RIO VERDE	2023	0
GO-FORMOSA	2023	0
GO-VALPARAÍSO DE GOIÁS	2023	0
GO-SERRANÓPOLIS	2023	0
GO-GOIÂNIA	2024	2
GO-JATAÍ	2024	2
GO-FORMOSA	2024	1
DF-BRASÍLIA	2024	1
GO-APARECIDA DE GOIÂNIA	2024	1
GO-SERRANÓPOLIS	2024	1
GO-RIO VERDE	2024	0
GO-VALPARAÍSO DE GOIÁS	2024	0
