ano	grupocota	notacorte
2015	AC	595.26
2015	PPI	543.55
2015	RI	548.66
2015	RS	559.345
2016	AC	575.27
2016	PPI	535.9649999999999
2016	RI	541.96
2016	RS	546.025
2017	AC	600.94
2017	PPI	566.725
2017	RI	570.525
2017	RS	574.6600000000001
2018	AC	590.34
2018	PPI	558.975
2018	RI	534.3966666666666
2018	RS	563.83
2018	cD	497.03
2019	AC	556.38
2019	PPI	525.615
2019	RI	523.79
2019	RS	538.05
2020	AC	528.15
2020	PPI	491.655
2020	RI	528.865
2020	RS	478.995
2020	cD	0.0
2021	AC	461.95
2021	PPI	450.6
2021	RI	478.70500000000004
2021	RS	516.39
2021	cD	0.0
2022	AC	0.0
2022	PPI	0.0
2022	RI	0.0
2022	RS	487.94
2022	cD	0.0
2023	AC	0.0
2023	PPI	0.0
2023	RI	0.0
2023	RS	0.0
2023	cD	0.0
2024	AC	0.0
2024	PPI	0.0
2024	RI	0.0
2024	RS	0.0
2024	cD	0.0
