Parâmetro	Valor
Nome do curso	QUÍMICA
Unidade Acadêmica	ICET
Grau	Licenciatura
Turno	Integral
Duração mínima em semestres	8
Vagas anuais	45
Nota de corte da ampla concorrência em 2024	0
Ingressantes de 2012 a 2024	181 (13.9 por ano)
Graduados de 2012 a 2024	45 (3.8 por ano)
Taxa de formação histórica	17.4% (30 graduados desde 2015 para 172 ingressantes de 2012 a 2021)
Conceito Preliminar de Curso (CPC 2021)	Contínuo: 4.1, Faixa: 5
Matriculados em 2024-1	9 (5.0% da capacidade)
Matriculados em 2024-2	8 (4.4% da capacidade)
