anoinicio	anograd	pivot-grouping	count
2006	2012	0	1
2007	2013	0	2
2007	2014	0	1
2008	2012	0	2
2008	2013	0	1
2009	2012	0	1
2009	2013	0	2
2010	2013	0	1
2010	2014	0	2
2010	2018	0	1
2011	2015	0	2
2012	2012	0	1
2012	2018	0	1
2012	2021	0	1
2013	2014	0	1
2013	2017	0	2
2013	2020	0	1
2014	2018	0	1
2014	2019	0	1
2014	2020	0	3
2015	2017	0	1
2015	2018	0	2
2015	2019	0	1
2016	2019	0	2
2016	2020	0	2
2017	2021	0	1
2018	2019	0	2
2018	2021	0	3
2018	2022	0	1
2019	2023	0	1
2020	2024	0	1
	2012	1	5
	2013	1	6
	2014	1	4
	2015	1	2
	2017	1	3
	2018	1	5
	2019	1	6
	2020	1	6
	2021	1	5
	2022	1	1
	2023	1	1
	2024	1	1
2006		2	1
2007		2	3
2008		2	3
2009		2	3
2010		2	4
2011		2	2
2012		2	3
2013		2	4
2014		2	5
2015		2	4
2016		2	4
2017		2	1
2018		2	6
2019		2	1
2020		2	1
		3	45
