resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	QUÍMICA	36.0
Apoio pedagógico	Atenção	QUÍMICA	36.0
Atendimento prestado pelos TAEs	Atenção	QUÍMICA	36.0
Cenários de práticas	Bom	QUÍMICA	57.0
Coordenação: Atendimento das demandas	Atenção	QUÍMICA	36.0
Coordenação: Horário de atendimento	Atenção	QUÍMICA	43.0
Estágio: condições de aprendizagem	Atenção	QUÍMICA	33.0
Estágio: suporte à formação	Atenção	QUÍMICA	33.0
Interação da coordenação do curso	Atenção	QUÍMICA	36.0
Portal discente/docente	Atenção	QUÍMICA	14.0
Recursos audiovisuais e tecnológicos	Atenção	QUÍMICA	7.0
ᴵ Estímulo à participação em projetos	Atenção	QUÍMICA	36.0
ᴵ Interdisciplinariedade	Atenção	QUÍMICA	43.0
