resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	QUÍMICA	36.0
Acervo da biblioteca	Bom	0	0
Apoio pedagógico	Atenção	QUÍMICA	36.0
Apoio pedagógico	Bom	0	0
Atendimento prestado pelos TAEs	Atenção	QUÍMICA	36.0
Atendimento prestado pelos TAEs	Bom	0	0
Cenários de práticas	Atenção	0	0
Cenários de práticas	Bom	QUÍMICA	57.0
Coordenação: Atendimento das demandas	Atenção	QUÍMICA	36.0
Coordenação: Atendimento das demandas	Bom	0	0
Coordenação: Horário de atendimento	Atenção	QUÍMICA	43.0
Coordenação: Horário de atendimento	Bom	0	0
Estágio: condições de aprendizagem	Atenção	QUÍMICA	33.0
Estágio: condições de aprendizagem	Bom	0	0
Estágio: suporte à formação	Atenção	QUÍMICA	33.0
Estágio: suporte à formação	Bom	0	0
Interação da coordenação do curso	Atenção	QUÍMICA	36.0
Interação da coordenação do curso	Bom	0	0
Portal discente/docente	Atenção	QUÍMICA	14.0
Portal discente/docente	Bom	0	0
Recursos audiovisuais e tecnológicos	Atenção	QUÍMICA	7.0
Recursos audiovisuais e tecnológicos	Bom	0	0
ᴵ Estímulo à participação em projetos	Atenção	QUÍMICA	36.0
ᴵ Estímulo à participação em projetos	Bom	0	0
ᴵ Interdisciplinariedade	Atenção	QUÍMICA	43.0
ᴵ Interdisciplinariedade	Bom	0	0
