resumo	curso	aprovado	Classificação	nps
Assiduidade	QUÍMICA	False	Excelente	95.0
Assiduidade	QUÍMICA	True	Excelente	93.0
Coerência do método avaliativo	QUÍMICA	False	Excelente	75.0
Coerência do método avaliativo	QUÍMICA	True	Excelente	80.0
Cortesia e Ética	QUÍMICA	False	Bom	70.0
Cortesia e Ética	QUÍMICA	True	Excelente	76.0
Cumprimento do plano de ensino	QUÍMICA	False	Excelente	95.0
Cumprimento do plano de ensino	QUÍMICA	True	Excelente	99.0
Domínio e apresentação	QUÍMICA	False	Excelente	85.0
Domínio e apresentação	QUÍMICA	True	Excelente	86.0
Estímulo ao aprendizado	QUÍMICA	False	Excelente	75.0
Estímulo ao aprendizado	QUÍMICA	True	Excelente	83.0
Incentivo a Projetos	QUÍMICA	False	Excelente	75.0
Incentivo a Projetos	QUÍMICA	True	Excelente	77.0
Promoção do raciocínio crítico/reflexivo	QUÍMICA	False	Excelente	75.0
Promoção do raciocínio crítico/reflexivo	QUÍMICA	True	Excelente	82.0
Relacionamento conteúdo-profissão	QUÍMICA	False	Excelente	75.0
Relacionamento conteúdo-profissão	QUÍMICA	True	Excelente	80.0
