sg_uf_candidato	nu_ano	count
GO	2019	187
GO	2020	179
GO	2021	92
GO	2022	67
GO	2023	63
GO	2024	54
DF	2019	14
DF	2020	10
DF	2021	6
DF	2022	4
DF	2023	5
DF	2024	1
PA	2019	9
PA	2020	4
PA	2021	1
PA	2022	1
PA	2023	4
PA	2024	5
BA	2019	6
BA	2020	1
BA	2021	1
BA	2022	2
BA	2023	2
BA	2024	1
MA	2019	4
MA	2020	3
MA	2021	0
MA	2022	2
MA	2023	0
MA	2024	1
MG	2019	2
MG	2020	3
MG	2021	4
MG	2022	1
MG	2023	0
MG	2024	0
MT	2019	1
MT	2020	4
MT	2021	1
MT	2022	1
MT	2023	0
MT	2024	1
SP	2019	3
SP	2020	0
SP	2021	2
SP	2022	1
SP	2023	1
SP	2024	0
