municipio	nu_ano	count
GO-JATAÍ	2019	123
DF-BRASÍLIA	2019	14
GO-GOIÂNIA	2019	7
GO-RIO VERDE	2019	6
GO-SERRANÓPOLIS	2019	5
GO-CAIAPÔNIA	2019	5
GO-MINEIROS	2019	4
GO-FORMOSA	2019	1
GO-JATAÍ	2020	125
GO-SERRANÓPOLIS	2020	11
DF-BRASÍLIA	2020	10
GO-GOIÂNIA	2020	9
GO-CAIAPÔNIA	2020	4
GO-RIO VERDE	2020	4
GO-MINEIROS	2020	2
GO-FORMOSA	2020	1
GO-JATAÍ	2021	61
DF-BRASÍLIA	2021	6
GO-RIO VERDE	2021	5
GO-SERRANÓPOLIS	2021	2
GO-MINEIROS	2021	2
GO-GOIÂNIA	2021	2
GO-FORMOSA	2021	2
GO-CAIAPÔNIA	2021	0
GO-JATAÍ	2022	44
DF-BRASÍLIA	2022	4
GO-RIO VERDE	2022	4
GO-MINEIROS	2022	2
GO-SERRANÓPOLIS	2022	2
GO-GOIÂNIA	2022	1
GO-FORMOSA	2022	1
GO-CAIAPÔNIA	2022	0
GO-JATAÍ	2023	30
DF-BRASÍLIA	2023	5
GO-CAIAPÔNIA	2023	4
GO-RIO VERDE	2023	4
GO-GOIÂNIA	2023	3
GO-SERRANÓPOLIS	2023	3
GO-MINEIROS	2023	2
GO-FORMOSA	2023	0
GO-JATAÍ	2024	25
GO-SERRANÓPOLIS	2024	4
GO-CAIAPÔNIA	2024	4
GO-GOIÂNIA	2024	3
GO-FORMOSA	2024	3
GO-MINEIROS	2024	2
GO-RIO VERDE	2024	2
DF-BRASÍLIA	2024	1
