ano	grupocota	notacorte
2015	AC	593.36
2015	PPI	569.135
2015	RI	566.8499999999999
2015	RS	582.675
2016	AC	591.69
2016	PPI	567.09
2016	RI	582.2950000000001
2016	RS	572.11
2017	AC	605.19
2017	PPI	571.21
2017	RI	578.925
2017	RS	576.0550000000001
2018	AC	599.28
2018	PPI	519.5825
2018	RI	508.85249999999996
2018	RS	535.005
2018	cD	467.1275
2019	AC	585.74
2019	PPI	562.125
2019	RI	573.905
2019	RS	563.085
2020	AC	574.44
2020	PPI	550.325
2020	RI	560.285
2020	RS	568.6800000000001
2020	cD	0.0
2021	AC	530.46
2021	PPI	519.76
2021	RI	522.675
2021	RS	543.145
2021	cD	0.0
2022	AC	514.78
2022	PPI	471.02
2022	RI	531.6500000000001
2022	RS	474.8
2022	cD	0.0
2023	AC	497.97
2023	PPI	454.24333333333334
2023	RI	460.1333333333334
2023	RS	513.615
2023	cD	399.12
2024	AC	497.97
2024	PPI	454.24333333333334
2024	RI	460.1333333333334
2024	RS	513.615
2024	cD	399.12
