Parâmetro	Valor
Nome do curso	LETRAS - LÍNGUA PORTUGUESA
Unidade Acadêmica	ICHL
Grau	Licenciatura
Turno	Noturno
Duração mínima em semestres	8
Vagas anuais	40
Nota de corte da ampla concorrência em 2024	498
Ingressantes de 2012 a 2024	368 (28.3 por ano)
Graduados de 2012 a 2024	77 (6.4 por ano)
Taxa de formação histórica	21.1% (61 graduados desde 2015 para 289 ingressantes de 2012 a 2021)
Conceito Preliminar de Curso (CPC 2021)	Contínuo: 3.2, Faixa: 4
Matriculados em 2024-1	67 (41.9% da capacidade)
Matriculados em 2024-2	55 (34.4% da capacidade)
