anoinicio	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	Total
2003	1													1
2005	1	1												2
2006	2													2
2007		2	1											3
2008			1											1
2009			2											2
2010		3	2	2										7
2011				2										2
2012				2	1		3							6
2013					2									2
2014						1	2	1						4
2015							2	1		2		1		6
2016									2	3				5
2017									4	1	2	2		9
2018										3	6	2		11
2019											6	1		7
2020												3	2	5
2021													1	1
2023													1	1
Total	4	6	6	6	3	1	7	2	6	9	14	9	4	77
