anoinicio	anograd	pivot-grouping	count
2003	2012	0	1
2005	2012	0	1
2005	2013	0	1
2006	2012	0	2
2007	2013	0	2
2007	2014	0	1
2008	2014	0	1
2009	2014	0	2
2010	2013	0	3
2010	2014	0	2
2010	2015	0	2
2011	2015	0	2
2012	2015	0	2
2012	2016	0	1
2012	2018	0	3
2013	2016	0	2
2014	2017	0	1
2014	2018	0	2
2014	2019	0	1
2015	2018	0	2
2015	2019	0	1
2015	2021	0	2
2015	2023	0	1
2016	2020	0	2
2016	2021	0	3
2017	2020	0	4
2017	2021	0	1
2017	2022	0	2
2017	2023	0	2
2018	2021	0	3
2018	2022	0	6
2018	2023	0	2
2019	2022	0	6
2019	2023	0	1
2020	2023	0	3
2020	2024	0	2
2021	2024	0	1
2023	2024	0	1
	2012	1	4
	2013	1	6
	2014	1	6
	2015	1	6
	2016	1	3
	2017	1	1
	2018	1	7
	2019	1	2
	2020	1	6
	2021	1	9
	2022	1	14
	2023	1	9
	2024	1	4
2003		2	1
2005		2	2
2006		2	2
2007		2	3
2008		2	1
2009		2	2
2010		2	7
2011		2	2
2012		2	6
2013		2	2
2014		2	4
2015		2	6
2016		2	5
2017		2	9
2018		2	11
2019		2	7
2020		2	5
2021		2	1
2023		2	1
		3	77
