resumo	Classificação	curso	nps
Acervo da biblioteca	Ruim	LETRAS - PORTUGUÊS	-20.0
Apoio pedagógico	Atenção	LETRAS - PORTUGUÊS	20.0
Atendimento prestado pelos TAEs	Ruim	LETRAS - PORTUGUÊS	-20.0
Cenários de práticas	Ruim	LETRAS - PORTUGUÊS	-20.0
Coordenação: Atendimento das demandas	Ruim	LETRAS - PORTUGUÊS	-20.0
Coordenação: Horário de atendimento	Atenção	LETRAS - PORTUGUÊS	20.0
Estágio: condições de aprendizagem	Ruim	LETRAS - PORTUGUÊS	-20.0
Estágio: suporte à formação	Ruim	LETRAS - PORTUGUÊS	-20.0
Interação da coordenação do curso	Atenção	LETRAS - PORTUGUÊS	20.0
Portal discente/docente	Atenção	LETRAS - PORTUGUÊS	20.0
Recursos audiovisuais e tecnológicos	Ruim	LETRAS - PORTUGUÊS	-20.0
ᴵ Estímulo à participação em projetos	Atenção	LETRAS - PORTUGUÊS	20.0
ᴵ Interdisciplinariedade	Ruim	LETRAS - PORTUGUÊS	-20.0
