resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	0	0
Acervo da biblioteca	Ruim	LETRAS - PORTUGUÊS	-20.0
Apoio pedagógico	Atenção	LETRAS - PORTUGUÊS	20.0
Apoio pedagógico	Ruim	0	0
Atendimento prestado pelos TAEs	Atenção	0	0
Atendimento prestado pelos TAEs	Ruim	LETRAS - PORTUGUÊS	-20.0
Cenários de práticas	Atenção	0	0
Cenários de práticas	Ruim	LETRAS - PORTUGUÊS	-20.0
Coordenação: Atendimento das demandas	Atenção	0	0
Coordenação: Atendimento das demandas	Ruim	LETRAS - PORTUGUÊS	-20.0
Coordenação: Horário de atendimento	Atenção	LETRAS - PORTUGUÊS	20.0
Coordenação: Horário de atendimento	Ruim	0	0
Estágio: condições de aprendizagem	Atenção	0	0
Estágio: condições de aprendizagem	Ruim	LETRAS - PORTUGUÊS	-20.0
Estágio: suporte à formação	Atenção	0	0
Estágio: suporte à formação	Ruim	LETRAS - PORTUGUÊS	-20.0
Interação da coordenação do curso	Atenção	LETRAS - PORTUGUÊS	20.0
Interação da coordenação do curso	Ruim	0	0
Portal discente/docente	Atenção	LETRAS - PORTUGUÊS	20.0
Portal discente/docente	Ruim	0	0
Recursos audiovisuais e tecnológicos	Atenção	0	0
Recursos audiovisuais e tecnológicos	Ruim	LETRAS - PORTUGUÊS	-20.0
ᴵ Estímulo à participação em projetos	Atenção	LETRAS - PORTUGUÊS	20.0
ᴵ Estímulo à participação em projetos	Ruim	0	0
ᴵ Interdisciplinariedade	Atenção	0	0
ᴵ Interdisciplinariedade	Ruim	LETRAS - PORTUGUÊS	-20.0
