resumo	curso	aprovado	Classificação	nps
Assiduidade	LETRAS - PORTUGUÊS	False	Ruim	-17.0
Assiduidade	LETRAS - PORTUGUÊS	True	Excelente	82.0
Coerência do método avaliativo	LETRAS - PORTUGUÊS	False	Ruim	-33.0
Coerência do método avaliativo	LETRAS - PORTUGUÊS	True	Bom	69.0
Cortesia e Ética	LETRAS - PORTUGUÊS	False	Atenção	17.0
Cortesia e Ética	LETRAS - PORTUGUÊS	True	Bom	60.0
Cumprimento do plano de ensino	LETRAS - PORTUGUÊS	False	Ruim	-33.0
Cumprimento do plano de ensino	LETRAS - PORTUGUÊS	True	Excelente	76.0
Domínio e apresentação	LETRAS - PORTUGUÊS	False	Ruim	-50.0
Domínio e apresentação	LETRAS - PORTUGUÊS	True	Bom	64.0
Estímulo ao aprendizado	LETRAS - PORTUGUÊS	False	Ruim	-33.0
Estímulo ao aprendizado	LETRAS - PORTUGUÊS	True	Excelente	76.0
Incentivo a Projetos	LETRAS - PORTUGUÊS	False	Atenção	25.0
Incentivo a Projetos	LETRAS - PORTUGUÊS	True	Atenção	46.0
Promoção do raciocínio crítico/reflexivo	LETRAS - PORTUGUÊS	False	Ruim	-33.0
Promoção do raciocínio crítico/reflexivo	LETRAS - PORTUGUÊS	True	Excelente	76.0
Relacionamento conteúdo-profissão	LETRAS - PORTUGUÊS	False	Ruim	-50.0
Relacionamento conteúdo-profissão	LETRAS - PORTUGUÊS	True	Bom	69.0
