ano	curso	inscporvaga
2015	LETRAS - PORTUGUÊS	7.425
2015	Média UFJ	19.23611111111111
2015	Média da Unidade Acadêmica	13.5375
2016	LETRAS - PORTUGUÊS	8.425
2016	Média UFJ	18.60648148148148
2016	Média da Unidade Acadêmica	13.99375
2017	LETRAS - PORTUGUÊS	9.7
2017	Média UFJ	19.575925925925926
2017	Média da Unidade Acadêmica	16.08125
2018	LETRAS - PORTUGUÊS	6.6
2018	Média UFJ	14.322222222222223
2018	Média da Unidade Acadêmica	12.6125
2019	LETRAS - PORTUGUÊS	6.2368421052631575
2019	Média UFJ	13.692742695570217
2019	Média da Unidade Acadêmica	11.801282051282051
2020	LETRAS - PORTUGUÊS	5.225
2020	Média UFJ	13.282178217821782
2020	Média da Unidade Acadêmica	12.6
2021	LETRAS - PORTUGUÊS	2.925
2021	Média UFJ	12.210185185185185
2021	Média da Unidade Acadêmica	8.875
2022	LETRAS - PORTUGUÊS	2.025
2022	Média UFJ	9.397222222222222
2022	Média da Unidade Acadêmica	7.4375
2023	LETRAS - PORTUGUÊS	2.0
2023	Média UFJ	9.282407407407407
2023	Média da Unidade Acadêmica	8.2625
2024	LETRAS - PORTUGUÊS	1.625
2024	Média UFJ	9.780555555555555
2024	Média da Unidade Acadêmica	5.88125
