sg_uf_candidato	nu_ano	count
GO	2019	787
GO	2020	877
GO	2021	644
GO	2022	602
GO	2023	701
GO	2024	519
DF	2019	53
DF	2020	192
DF	2021	126
DF	2022	140
DF	2023	113
DF	2024	65
SP	2019	76
SP	2020	65
SP	2021	56
SP	2022	39
SP	2023	31
SP	2024	29
PA	2019	40
PA	2020	45
PA	2021	44
PA	2022	23
PA	2023	53
PA	2024	22
MG	2019	50
MG	2020	57
MG	2021	39
MG	2022	26
MG	2023	24
MG	2024	16
TO	2019	21
TO	2020	30
TO	2021	26
TO	2022	14
TO	2023	61
TO	2024	17
MA	2019	28
MA	2020	22
MA	2021	12
MA	2022	13
MA	2023	20
MA	2024	10
MT	2019	10
MT	2020	26
MT	2021	18
MT	2022	15
MT	2023	15
MT	2024	16
