municipio	nu_ano	count
GO-GOIÂNIA	2019	198
GO-JATAÍ	2019	160
GO-APARECIDA DE GOIÂNIA	2019	73
DF-BRASÍLIA	2019	53
GO-ANÁPOLIS	2019	44
GO-RIO VERDE	2019	17
GO-FORMOSA	2019	8
GO-LUZIÂNIA	2019	8
GO-GOIÂNIA	2020	202
DF-BRASÍLIA	2020	192
GO-JATAÍ	2020	146
GO-APARECIDA DE GOIÂNIA	2020	60
GO-ANÁPOLIS	2020	44
GO-RIO VERDE	2020	23
GO-LUZIÂNIA	2020	17
GO-FORMOSA	2020	6
GO-JATAÍ	2021	144
DF-BRASÍLIA	2021	126
GO-GOIÂNIA	2021	125
GO-APARECIDA DE GOIÂNIA	2021	39
GO-ANÁPOLIS	2021	29
GO-RIO VERDE	2021	16
GO-FORMOSA	2021	15
GO-LUZIÂNIA	2021	12
DF-BRASÍLIA	2022	140
GO-GOIÂNIA	2022	125
GO-JATAÍ	2022	115
GO-APARECIDA DE GOIÂNIA	2022	33
GO-ANÁPOLIS	2022	31
GO-RIO VERDE	2022	24
GO-FORMOSA	2022	15
GO-LUZIÂNIA	2022	13
GO-GOIÂNIA	2023	141
GO-JATAÍ	2023	127
DF-BRASÍLIA	2023	113
GO-APARECIDA DE GOIÂNIA	2023	34
GO-ANÁPOLIS	2023	28
GO-RIO VERDE	2023	23
GO-LUZIÂNIA	2023	18
GO-FORMOSA	2023	17
GO-JATAÍ	2024	137
GO-GOIÂNIA	2024	80
DF-BRASÍLIA	2024	65
GO-APARECIDA DE GOIÂNIA	2024	26
GO-RIO VERDE	2024	22
GO-ANÁPOLIS	2024	19
GO-FORMOSA	2024	11
GO-LUZIÂNIA	2024	10
