ano	grupocota	notacorte
2015	AC	680.31
2015	PPI	633.99
2015	RI	639.2149999999999
2015	RS	652.665
2016	AC	692.19
2016	PPI	639.6700000000001
2016	RI	650.7149999999999
2016	RS	650.5550000000001
2017	AC	695.18
2017	PPI	645.345
2017	RI	651.07
2017	RS	664.8050000000001
2018	AC	705.46
2018	PPI	640.9475
2018	RI	633.9100000000001
2018	RS	651.1775
2018	cD	616.1225
2019	AC	721.75
2019	PPI	613.4975000000001
2019	RI	633.5233333333333
2019	RS	647.01
2019	cD	542.02
2020	AC	710.7
2020	PPI	618.375
2020	RI	626.1524999999999
2020	RS	634.2149999999999
2020	cD	576.7875
2021	AC	723.36
2021	PPI	640.49
2021	RI	608.9775000000001
2021	RS	657.28
2021	cD	588.3325
2022	AC	714.92
2022	PPI	590.1225000000001
2022	RI	614.7075
2022	RS	622.41
2022	cD	522.6533333333333
2023	AC	708.97
2023	PPI	606.8
2023	RI	614.8533333333334
2023	RS	641.38
2023	cD	566.4566666666666
2024	AC	708.97
2024	PPI	606.8
2024	RI	614.8533333333334
2024	RS	641.38
2024	cD	566.4566666666666
