ano	avg	1stdev	max
2012	10.363636363636363	11.135025579476233	12
2013	10.25	11.07915619758885	13
2014	10.266666666666667	11.36008129779045	15
2015	10.275862068965518	10.96551724137931	12
2016	10.393939393939394	11.493233766498003	14
2017	10.16	11.41475097130865	16
2018	11.833333333333334	14.724891928816245	19
2019	11.314285714285715	13.17779129818518	16
2020	11.333333333333334	14.11821314322739	20
2021	10.666666666666666	12.050332057767388	16
2022	10.91891891891892	13.092201134375635	20
2023	10.529411764705882	11.98937337011657	16
2024	11.142857142857142	13.543962330567373	20
