Parâmetro	Valor
Nome do curso	PSICOLOGIA
Unidade Acadêmica	ICHL
Grau	Bacharelado
Turno	Integral
Duração mínima em semestres	10
Vagas anuais	40
Nota de corte da ampla concorrência em 2024	709
Ingressantes de 2012 a 2024	563 (43.3 por ano)
Graduados de 2012 a 2024	396 (33.0 por ano)
Taxa de formação histórica	63.6% (279 graduados desde 2016 para 389 ingressantes de 2012 a 2020)
Conceito Preliminar de Curso (CPC 2022)	Contínuo: 3.5, Faixa: 4
Matriculados em 2024-1	169 (84.5% da capacidade)
Matriculados em 2024-2	159 (79.5% da capacidade)
