anoinicio	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	Total
2007	4	1	1											6
2008	18	5												23
2009		29	3				1							33
2010		1	25	4	3	1	1							35
2011			1	25	1		2		2					31
2012					29			1						30
2013						23	3	8	2		1			37
2014						1	11	6	1	2				21
2015								19	3	1	1		1	25
2016								1	22	9	4	2		38
2017										27	3	1	1	32
2018											27	2	4	33
2019											1	29	4	34
2020													17	17
2021													1	1
Total	22	36	30	29	33	25	18	35	30	39	37	34	28	396
