anoinicio	anograd	pivot-grouping	count
2007	2012	0	4
2007	2013	0	1
2007	2014	0	1
2008	2012	0	18
2008	2013	0	5
2009	2013	0	29
2009	2014	0	3
2009	2018	0	1
2010	2013	0	1
2010	2014	0	25
2010	2015	0	4
2010	2016	0	3
2010	2017	0	1
2010	2018	0	1
2011	2014	0	1
2011	2015	0	25
2011	2016	0	1
2011	2018	0	2
2011	2020	0	2
2012	2016	0	29
2012	2019	0	1
2013	2017	0	23
2013	2018	0	3
2013	2019	0	8
2013	2020	0	2
2013	2022	0	1
2014	2017	0	1
2014	2018	0	11
2014	2019	0	6
2014	2020	0	1
2014	2021	0	2
2015	2019	0	19
2015	2020	0	3
2015	2021	0	1
2015	2022	0	1
2015	2024	0	1
2016	2019	0	1
2016	2020	0	22
2016	2021	0	9
2016	2022	0	4
2016	2023	0	2
2017	2021	0	27
2017	2022	0	3
2017	2023	0	1
2017	2024	0	1
2018	2022	0	27
2018	2023	0	2
2018	2024	0	4
2019	2022	0	1
2019	2023	0	29
2019	2024	0	4
2020	2024	0	17
2021	2024	0	1
	2012	1	22
	2013	1	36
	2014	1	30
	2015	1	29
	2016	1	33
	2017	1	25
	2018	1	18
	2019	1	35
	2020	1	30
	2021	1	39
	2022	1	37
	2023	1	34
	2024	1	28
2007		2	6
2008		2	23
2009		2	33
2010		2	35
2011		2	31
2012		2	30
2013		2	37
2014		2	21
2015		2	25
2016		2	38
2017		2	32
2018		2	33
2019		2	34
2020		2	17
2021		2	1
		3	396
