ano_enade	nota_enade	Nota ENEM
2015	56.1	662.4000000000001
2015	66.6	595.925
2015	40.2	575.6
2015	65.7	625.075
2015	62.4	536.4250000000001
2015	51.9	508.2
2015	41.6	574.5
2015	37.4	546.85
2015	59.0	591.4
2015	51.7	516.1999999999999
2015	54.4	580.2750000000001
2015	54.2	551.525
2015	66.3	504.8
2015	44.3	577.9499999999999
2015	54.3	642.125
2015	55.9	591.05
2015	50.8	506.1
2015	48.5	637.7
2015	58.4	593.9
2015	47.0	513.625
2015	49.2	581.65
2015	53.1	575.1
2018	40.8	567.1499999999999
2018	53.2	530.875
2018	56.9	541.4
2018	44.0	518.975
2018	64.0	612.725
2018	72.1	653.95
2018	66.0	538.5999999999999
2018	25.6	515.55
2018	57.5	603.75
2018	41.3	532.225
2018	49.9	615.1
2018	40.8	557.775
2018	61.2	604.5999999999999
2018	50.4	584.45
2018	44.5	639.375
2018	70.2	614.8
2022	63.1	632.975
2022	77.5	595.45
2022	76.9	614.525
2022	88.9	678.175
2022	65.0	649.3000000000001
2022	40.8	553.875
2022	71.4	552.175
2022	73.4	633.1999999999999
2022	66.2	491.75
2022	67.5	586.1750000000001
2022	83.4	534.0
2022	44.4	493.15
2022	63.0	538.2
2022	81.2	603.625
2022	64.6	561.05
2022	57.9	529.35
2022	60.6	552.4
2022	53.4	598.175
2022	57.6	574.975
2022	33.4	597.725
2022	58.3	564.775
2022	72.3	573.375
2022	65.3	475.15
2022	60.1	538.225
2022	64.7	629.4749999999999
2022	71.1	616.125
2022	66.6	562.725
2022	67.8	623.9
2022	56.3	553.8000000000001
2022	76.1	601.0
2022	61.7	541.925
2022	68.5	627.425
2022	69.9	570.825
2022	44.7	588.85
2022	84.7	648.975
2022	79.6	634.1
2022	73.3	616.1500000000001
2022	76.4	565.05
2022	65.1	577.75
2022	84.9	658.325
