resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	PSICOLOGIA	40.0
Apoio pedagógico	Bom	PSICOLOGIA	50.0
Atendimento prestado pelos TAEs	Ruim	PSICOLOGIA	-18.0
Cenários de práticas	Ruim	PSICOLOGIA	-12.0
Coordenação: Atendimento das demandas	Atenção	PSICOLOGIA	8.0
Coordenação: Horário de atendimento	Bom	PSICOLOGIA	67.0
Estágio: condições de aprendizagem	Atenção	PSICOLOGIA	46.0
Estágio: suporte à formação	Atenção	PSICOLOGIA	23.0
Interação da coordenação do curso	Atenção	PSICOLOGIA	21.0
Portal discente/docente	Atenção	PSICOLOGIA	45.0
Recursos audiovisuais e tecnológicos	Ruim	PSICOLOGIA	-14.0
ᴵ Estímulo à participação em projetos	Atenção	PSICOLOGIA	21.0
ᴵ Interdisciplinariedade	Ruim	PSICOLOGIA	-36.0
