resumo	Classificação	curso	nps
Acervo da biblioteca	Atenção	PSICOLOGIA	40.0
Acervo da biblioteca	Bom	0	0
Acervo da biblioteca	Ruim	0	0
Apoio pedagógico	Atenção	0	0
Apoio pedagógico	Bom	PSICOLOGIA	50.0
Apoio pedagógico	Ruim	0	0
Atendimento prestado pelos TAEs	Atenção	0	0
Atendimento prestado pelos TAEs	Bom	0	0
Atendimento prestado pelos TAEs	Ruim	PSICOLOGIA	-18.0
Cenários de práticas	Atenção	0	0
Cenários de práticas	Bom	0	0
Cenários de práticas	Ruim	PSICOLOGIA	-12.0
Coordenação: Atendimento das demandas	Atenção	PSICOLOGIA	8.0
Coordenação: Atendimento das demandas	Bom	0	0
Coordenação: Atendimento das demandas	Ruim	0	0
Coordenação: Horário de atendimento	Atenção	0	0
Coordenação: Horário de atendimento	Bom	PSICOLOGIA	67.0
Coordenação: Horário de atendimento	Ruim	0	0
Estágio: condições de aprendizagem	Atenção	PSICOLOGIA	46.0
Estágio: condições de aprendizagem	Bom	0	0
Estágio: condições de aprendizagem	Ruim	0	0
Estágio: suporte à formação	Atenção	PSICOLOGIA	23.0
Estágio: suporte à formação	Bom	0	0
Estágio: suporte à formação	Ruim	0	0
Interação da coordenação do curso	Atenção	PSICOLOGIA	21.0
Interação da coordenação do curso	Bom	0	0
Interação da coordenação do curso	Ruim	0	0
Portal discente/docente	Atenção	PSICOLOGIA	45.0
Portal discente/docente	Bom	0	0
Portal discente/docente	Ruim	0	0
Recursos audiovisuais e tecnológicos	Atenção	0	0
Recursos audiovisuais e tecnológicos	Bom	0	0
Recursos audiovisuais e tecnológicos	Ruim	PSICOLOGIA	-14.0
ᴵ Estímulo à participação em projetos	Atenção	PSICOLOGIA	21.0
ᴵ Estímulo à participação em projetos	Bom	0	0
ᴵ Estímulo à participação em projetos	Ruim	0	0
ᴵ Interdisciplinariedade	Atenção	0	0
ᴵ Interdisciplinariedade	Bom	0	0
ᴵ Interdisciplinariedade	Ruim	PSICOLOGIA	-36.0
