resumo	curso	aprovado	Classificação	nps
Assiduidade	PSICOLOGIA	False	Excelente	100.0
Assiduidade	PSICOLOGIA	True	Excelente	78.0
Coerência do método avaliativo	PSICOLOGIA	False	Excelente	100.0
Coerência do método avaliativo	PSICOLOGIA	True	Bom	52.0
Cortesia e Ética	PSICOLOGIA	False	Ruim	0.0
Cortesia e Ética	PSICOLOGIA	True	Bom	64.0
Cumprimento do plano de ensino	PSICOLOGIA	False	Excelente	100.0
Cumprimento do plano de ensino	PSICOLOGIA	True	Bom	72.0
Domínio e apresentação	PSICOLOGIA	False	Excelente	100.0
Domínio e apresentação	PSICOLOGIA	True	Bom	53.0
Estímulo ao aprendizado	PSICOLOGIA	False	Ruim	0.0
Estímulo ao aprendizado	PSICOLOGIA	True	Atenção	48.0
Incentivo a Projetos	PSICOLOGIA	True	Atenção	49.0
Promoção do raciocínio crítico/reflexivo	PSICOLOGIA	True	Bom	65.0
Relacionamento conteúdo-profissão	PSICOLOGIA	False	Ruim	0.0
Relacionamento conteúdo-profissão	PSICOLOGIA	True	Bom	54.0
