ano	curso	inscporvaga
2015	Média UFJ	19.23611111111111
2015	Média da Unidade Acadêmica	13.5375
2015	PSICOLOGIA	29.425
2016	Média UFJ	18.60648148148148
2016	Média da Unidade Acadêmica	13.99375
2016	PSICOLOGIA	30.85
2017	Média UFJ	19.575925925925926
2017	Média da Unidade Acadêmica	16.08125
2017	PSICOLOGIA	38.25
2018	Média UFJ	14.322222222222223
2018	Média da Unidade Acadêmica	12.6125
2018	PSICOLOGIA	31.9
2019	Média UFJ	13.692742695570217
2019	Média da Unidade Acadêmica	11.801282051282051
2019	PSICOLOGIA	28.125
2020	Média UFJ	13.282178217821782
2020	Média da Unidade Acadêmica	12.6
2020	PSICOLOGIA	34.2
2021	Média UFJ	12.210185185185185
2021	Média da Unidade Acadêmica	8.875
2021	PSICOLOGIA	25.95
2022	Média UFJ	9.397222222222222
2022	Média da Unidade Acadêmica	7.4375
2022	PSICOLOGIA	22.825
2023	Média UFJ	9.282407407407407
2023	Média da Unidade Acadêmica	8.2625
2023	PSICOLOGIA	26.525
2024	Média UFJ	9.780555555555555
2024	Média da Unidade Acadêmica	5.88125
2024	PSICOLOGIA	18.375
