sg_uf_candidato	nu_ano	count
GO	2019	355
GO	2020	333
GO	2021	325
GO	2022	318
GO	2023	348
GO	2024	425
SP	2019	156
SP	2020	117
SP	2021	133
SP	2022	119
SP	2023	80
SP	2024	95
MG	2019	60
MG	2020	53
MG	2021	60
MG	2022	49
MG	2023	37
MG	2024	39
DF	2019	41
DF	2020	38
DF	2021	44
DF	2022	34
DF	2023	32
DF	2024	35
PA	2019	40
PA	2020	38
PA	2021	40
PA	2022	33
PA	2023	23
PA	2024	27
BA	2019	12
BA	2020	19
BA	2021	22
BA	2022	27
BA	2023	18
BA	2024	20
MT	2019	16
MT	2020	18
MT	2021	24
MT	2022	22
MT	2023	16
MT	2024	13
TO	2019	16
TO	2020	18
TO	2021	16
TO	2022	13
TO	2023	15
TO	2024	21
